province_id,province_name
AB,Alberta
AK,Juneau
BC,"British Columbia"
CA,Whittier
CO,"Fort Collins"
DC,Washington
DE,Wilmington
FL,"Fort Lauderdale"
IA,"Des Moines"
IL,Chicago
IN,Evansville
LA,"Baton Rouge"
MB,Manitoba
MD,Laurel
MI,Kalamazoo
MN,Minneapolis
MO,Columbia
NB,"New Brunswick"
NL,"Newfoundland and Labrador"
NS,"Nova Scotia"
NT,"Northwest Territories"
NU,Nunavut
NY,Albany
OH,Cleveland
ON,Ontario
PA,Reading
PE,"Prince Edward Island"
QC,Quebec
SC,Spartanburg
SK,Saskatchewan
TN,Nashville
TX,"Fort Worth"
VA,"Virginia Beach"
WI,Madison
YT,Yukon
